id,book_no,theme,theme_bucket,proverb_translit,literal_en,commentary
1,1,"Anger, affectation, boasting, conceit, etc",vanity_boasting,"Ki no bhamakar tali, bhal khan thoi phata khan p£li.","What a repetition of anger, you have put down the good one and picked up the torn one. This is addressed to a person who is in a great rage, and who is so angry that he puts down the good cloth, he has in his hand, and 'takes up a torn one instead.",s»sjp- (bhamak) signifies the sudden rising of anger. It is also applied to a fire which suddenly blazes up. Kop dang dhan nal kiya shudd chang.
2,6,Boasting,vanity_boasting,"Sh§,garat achil pancha jala shangkha, Neguria shamuke kale maio tare bangsha.",There were five sacred shells in the ocean. The shamuk with a tail said I am related to them.,"The shdmuk is a shell-fish, which is found in almost every marsh or bil. Its shell is in appearance very like a snail shell. It is useless as an article of food, except to the yftsgf r (shamuk bhanga), which is a species of heron that cracks the shells with its strong beak. Lime is, however, made from the shells in considerable quantities, and is sold and bought by the poor to eat with tamul (betelnut). The rl Rti (jald shangkha) are the large conch shells which are blown by the priests at festivals, and are also used by them for pouring out libations to the gods. The §F«Tl jf'y (jala shangkha), which are of considerable size, are marine shells; they are considered by Hindus to be sacred. The meaning of the proverb is obvious."
3,8,Blaming others for one's own fault,deceit_vice,"Nakaleo noawro phata mukh, Kaleo lage bhakatar dosh.","There is an opening in the mouth, and I can't help speaking. If I do speak, the blame will fall on the bhakat.",A very lame excuse. N» (bhakat) means a disciple of a gosain or priest.
4,9,Conceit,vanity_boasting,"Jujhibaloi ahile mal, Dui hate singile bal.","He came to fight in all his strength, But he only broke one hair (of his adversary).",This proverb applies to the man who is over-conceited about his capabilities. The word rf«T (mdl) more properly means a boxer or wrestler. 10. Counting one's chickens before they are hatched — Discontent and
5,11,Discontent,folly_ignorance,"Lahu bakalir chal, Shtota shukhar et5,, Nepalo, dheki to o Nepalo bhal.","A covering of blood and skin. I did not find one of the seven happinesses, And I did not find even the dheki (rice-husking machine) nice. A complaint of a woman, who is discontented with her lot. She did not find even the dheki any comfort. To work the dheki, is one of the hardest household duties.",
6,12,Exaggeration,vanity_boasting,"Eke kathi kare shatota shinghok marilo(n), Lokok nakalo(n) laje, Chamah khap di nigoni eta marile tate, Dhanjoy dhol baje.","With one arrow I killed seven lions, I was too shy to tell any one; But he, after lying in wait for six months, killed a mouse, At that I see the drum of victory beaten.","The SRSHT (dhanjay) was a large drum which used to be beaten by the Ahoms when they gained a victory. The dhanjoy was of a particular shape and of large size. An illustration of it is given by Montgomery Martin in his book. Mr. Abdul Majid gives another reading ifcfff C5tT8f (dahojay dhol baje), Wl (daho) being equivalent to (dah) ten. The translation, therefore, would be I see ten drums of victory beaten. A man who brags is met by this saying."
7,17,Exaggeration,vanity_boasting,"Nuchui dumuni tuli dile bojha, Isapari nushuni hal oja.","The fish-wife lifted up the load without polluting it, Without study he became a magician.","This proverb is meant ironically. According to Assamese ideas, it would be impossible for a Diiiu woman to touch anything without defiling it. The Diirn caste in Assam appears to be considered of equally low status as in Bengal. §fl (oja) means a teacher of arts, magician, exorcist. It is in its last sense that \gsfj is most frequently used, particularly amongst the semi -civilised and more ignorant people. Brian Hodgson gives an interest- ing account of ojas on page 138 of his Collection of Essays. _"
8,18,Exaggeration,vanity_boasting,Nakata kherar na sha. Uncut grass has nine bodies.,"The longer a man puts off cutting his c (kher) or thatching- grass, the greater does the task appear, and the longer the grass becomes, the harder it is to cut.",
9,19,Exaggeration,vanity_boasting,"Bal chingote moha maril, Moi bolo maha ranat he paril.","In scratching a mosquito was killed, I say it fell in a severe engagement.",
10,21,False excuses,deceit_vice,"Har nai kiya jiba, Koy kiba kiba.","The tongue because it has no bone, Says various things. A poor excuse made by a man when he says more than he ought. He does not admit the blame, but throws it on his tongue, which, he says, is easily pliable, because it is unsupported by bone.","cf. — The modern Greek proverb (translation). — The tongue has no bones, yet it breaks bones, and also the Turkish proverb (translation) — The tongue has no bone, yet it crushes."
11,22,False pride and over-sensitiveness,vanity_boasting,"Kar agat kam kone patiaba, J£r &gat kam sheiye lathiyaba,","Before whom shall I speak, \\ho will believe? To whoever I say it he will kick me.",
12,23,Greediness,greed_selfishness,"Khukaa gal pat k£tibaloi, Nikhukuai matite kbale.","The greedy went to cut a plantain-leaf, He who was not greedy ate on the ground.",Perhaps ironically meant.
13,30,"Hypocrisy, impatience, inattention, ignorance",deceit_vice,"Alahiye bichare shakat Ion, Dhdn kinar bichdre ddng£r don.",The guest looks out for salt in his vegetables; The paddy-buyer searches for a large don.,"In the old days salt was a luxury, and was therefore much ap- preciated. The don is a measure of capacity, and varies in size according to locality. It is supposed to contain five seers weight."
14,38,Improvidence,greed_selfishness,"Gat nai chal bakali, Mad khai tin tekeli.","He has nothing to cover himself with, But he drinks three pots of rice-beer.","literally skin. 1? is Tte ffR (lao pani) or the Bengali pachwai, which is a liquor fermented from boiled rice. 1? is largely drunk by the aboriginal people of Assam — Kacharis, Ahoms, Miris and Deoris are particularly fond of it. It is not an unpleasant drink when fresh, its taste being a bitterish sub-acid. Hodgson gives the following description of how the Bodo (Kachiri) brews it: — The grain is boiled; the root of a plant called agaichito ' is mixed with it; it is left to ferment for two days in a nearly dry state; water is then added quantum suffidt; the whole stands for three or four days, and the liquor is ready. In Goalpara the ' bora mad/ which is the mad ' of the Rabhas, is a fermented liquor made from 1 bora dhan.' The following ingredients also are added: — leaves of the jack tree, leaves of a plant called ' Bhatai tita/ and long pepper. The Assamese 'mad' is very similar in taste to the Naga ' zii, ' although the former is perhaps preferable. The proverb applies to an extravagant drunkard. Christian gives a Bihar saying, which it is interesting to quote, because it expresses the same idea, i.e., (maiir na jure tari) = He cannot afford rice gruel, yet he drinks toddy!"
15,39,Improvidence,greed_selfishness,STFT fts stlfttf f t tto i,"Mane mukhe ache mahar gakhire kahar batiye nai. He has the mind and mouth, but not the vessel to drink buffalo milk from.",
16,40,Improvidence,greed_selfishness,"Shachi grihashtar Ion tel boy, Michar bakali no jai khoi.","The oil and salt of the host flow like water, But the skin of the prawn is not rubbed off.","The proverb means that the host is an unthrifty man, who expends all his salt and oil before he commences to cook the fwl or prawn. tf$ generally refers to water used for other than culinary purposes, fwl is the fresh-water prawn or chingari. means decay, waste, loss, or destruction, but when used in Assamese, as here, with the verb ftfo it means to wear off."
17,41,Improvidence,greed_selfishness,Hatat nal bit Mane kare pit pit.,"He has no money in hand, But his cravings are great.","f5 literally gall, bile, f literally wealth, substance."
18,42,Ingratitude,folly_ignorance,ttCT Tfa Tan pdle Earn bole.,"When in distress, a man calls on R&ma.","This proverb is not confined to Assam. There is a similar one in Bengali, and probably in Hindi. The proverb means that in times of prosperity, there is a want of gratitude to Harna; it is only in times of distress that a man calls on his god."
19,43,Laying pitfalls for others,deceit_vice,"Kotar gharar kuti, Lokaloi bull hul pati, Apuni mare phuti.","He who lays thorns for others, Dies amongst them himself.","The first line means nothing, and is merely inserted for purposes of rhyme, fe (phuti) literally means pierced, or rather burst asunder."
20,45,Love of false display,vanity_boasting,"Pokarat nai murat pag, Shi hai dehatar ag.","With a pdgri on his head, And with nothing on the lower part of his body, he wishes take the lead.","The Assamese thinks if he puts on a turban, this is a mark of respectability, and he will be thought a tT sffis (bhal m&nush) or respectable person. »ttt is short for"
21,46,Love of false display,vanity_boasting,"CFfol R £frrR CR, 011 CFtTfa C 1 Batat chowa jadi bar churiyar pher, Gharat jowa jadi dhokar her.","• If you meet him in the road, see the folds of his dhoti. If you go to his house, (see) the walls are all propped up.","Another proverb with a meaning very similar to the last — The man puts on fine clothes to go out walking, but his house is toppling down. The dhoti worn by the t5! lt§ (bhal manush) has as many yards of stuff in it as it is possible to walk in. cFf¥l literally means a prop, stay, support, and so comes to mean the propping of anything. A range of hills that fronts another, and higher range of hills behind it, is called CFffl f» (dhoka parbat). 47. Love of false display. Mukhaloi chale bar deka, Pokaraloi chale kandakata."
22,48,Love of false display,vanity_boasting,"Shat purushat nai gai, Kariya loi khirabaloi jai.","His family had no cow for seven generations, But he takes a kariyd and goes a milking.","The proverb means that the man's forefathers were too pool4 to be able to keep any cows; but when he gets one cow, he makes a great show of going to milk with a kariya or milkpan. %1 is really a bamboo chunga. The bamboo is cut about a foot above a joint, and the hollow portion inside serves to hold the liquid. Milk is generally carried in such chungaa, and they are generally used for milking."
23,54,"Straining at a gnat, etc",nature_animals,cffix sprft IOT frm frt« src=r i,"Bejir jalake mane kutharar jalao na mane. He can see through the eye of a needle, but not through that of an axe-headt","55, Penny wise pound foolish. Shakat na jai Ion, pitikat jai tini gun. He does not use salt in cooking vegetables,"
24,62,Restlessness,folly_ignorance,Bhangi an khuchari khao. Pua hale nao meli jao.,"Bring the adze, I am itching to be off. To-morrow morning I shall start in the boat.","This proverb is aimed at those who- work by fits and starts only. is a kind of curved adze, which is used in hollowing out boats from trunks of trees.;ft« clfa Tfs literally, I will loose the boat (from its moorings)."
25,64,Selfishness,greed_selfishness,"Ai goichil gosain gharaloi, Moi goichilo lagat, Akhoi kala khabaloi pai, Tate halo bhakat.","My mother went to the house of the gosain, I accompanied her. When I got akhoi and plantains to eat, I became a bhakat.","Perhaps tins is a hit at the bhakats. Apparently, the qualifi- cation for admission to the sastro as a bhakat, is to be able to appreciate fried rice (akhoi) and plantains. Bronson gives parched corn as the meaning of rtbr, but there is a sweetmeat made of fried rice and giir (molasses), which is also called"
26,65,Egotism,vanity_boasting,"Aponar man jene, Ataike dekhe tene; Jano man etaire eke,",He thinks that everybody else's mind is like his own. I doubt if all people think alike.,"The proverb is interesting, as illustrating the use of This literally means, I know. In conversation, however, \\ often means, I doubt, almost I don't believe you. Khaiche akhoiya gomdhan diye edon. He eats akhoiya (a sweetmeat), but to others he gives a"
27,69,Sponging on others,greed_selfishness,"ft opft ft «rftl, ft cf ti ft","Ji deshar ji dhara ji pokarar ji ner3. Every country has its own customs, and every one has some hanger-on.",
28,71,Stinginess,greed_selfishness,Lokar shabhaloi jaba. Amar diyan khoan chaba.,"Go to a gathering at some one else's house, (And then) see my liberality.",
29,72,Toadying,deceit_vice,"Kako dekhi randhe bare, Kako dekhi duwr bandhe.","When (the host) sees some people, he cooks and serves them (a meal), And when he sees others, he bars the door.",
30,73,Trickery,deceit_vice,Teliyai kande tel pelai. Kapuhawai kande let petai.,The oil-seller weeps for the oil that is spilt. The cotton-dealer weeps and soaks (his cotton in the tears).,"The cotton-dealer is not a man like the oilman, who cries over spilt milk, but finds a way out of the difficulty. The latter part of the proverb, perhaps, refers to a practice which came under my personal observation when in the Goldghat subdivision. The cot- ton is brought down from the hills by Kagas or other hillmen, who almost invariably soak it in water, or even sometimes put stones inside the bundle, to make the cotton weigh heavier. The cotton-dealer, who is not to be outdone, soaks the salt, which is generally bartered for the cotton, in water for the same reason. The translation I have given for c?n? cftt although n:t strictly literal, conveys the meaning, which is meant to be a sarcasm on the dealings of these cotton merchants, c5 Ct more correctly means having plastered."
31,77,On trying to teach fools,folly_ignorance,"Agiyanik giyan di manat palo kashta, Kanibor bhangi pelai baho karilo nashta.","In trying to teach a senseless woman I was much troubled, So I threw down the eggs and destroyed the nest.",
32,78,Have nothing to do with three things,wisdom_advice,"Ashatir shad giyan, Garu chorar ganga snan, Beshya tirir ekadasi, Tinioro murat muta bahi.","Have nothing to do with these three things: Honesty in an unchaste woman, A cattle-chief bathing in the Ganges, A harlot fasting on an ekadasf day. 79. The importunate1 s answer.",
33,84,On aiming too high,vanity_boasting,"Uthuwai marile kathi, Jalowa domar shatjani tiruta, Muraloi natile pati.",He shot an arrow high (into the air). The jalowa dum has seven wives. But he has not a bed for one wife even.,"literally, caused to mount up. sjftTfal cvst is used in contradistinctionto twrtl Ct5! (the ploughing dura). rtj$ is matting made from the splints of a tree called bf (doi)."
34,88,Circumstantial evidence,wisdom_advice,"Kath5,l chorar ethLi sh&khi, Hd(n)h chorar murat pakhi.","The gum is evidence against the jack fruit-stealer, And the feathers stick to the head of the duck-stealer. is the jack tree and its fruit. Bengali vWt (kantaki); both the bark of the tree and the fruit are covered with a sticky juice or gum.",
