id,theme,theme_bucket,proverb_translit,literal_en,commentary
1,,,Abkl ser mek pint bhi naJvik kati hai.,Of the pound of cotton not a skein ii yet sp jn.,Scarce a fraction of the work is yet done.
2,,,"AMe din pdekhe gaii, limr te ISgd ma kai. Ah","Your best days pawed and joa loved not God, What bwte repentance ntre, when","Remember now Cbretoriatha days of thy youth, while the eril dipn come not, nor the yean draw lUh; whre Ihos shaltsayl have no plrsewrs m threa. BesL sO. 1."
3,,,"Adhl rdt kajadbhdi dve, ehdm eemddhpkaildm",He sets his mouth ajar at sunset in order to gape at midnight,Commendug with unnecessary preparation.
4,,,Adnn hai yd dhuda kd kundnh t,Is he a man or a block of ebony 1,S.'iid of A negro.
5,,,"AiAai Ao, yd be dal kc hddam 1",Are you a man or a budam without the dt,Thu PurHiau bduia without the d neous on owl bum.
6,,,Admi.hOf yd mngd-he-nun f,Are you a man or a stone without the nf,"The PurHian iantj is a stone, and tag is a dog: a joko of thu tUenUi."
7,,,"Aflm yd UdS atnlr, yd hhde fatjr.",Only a beggar or a ridh man can cat opiiinu,It is very expensive and thekeforo can only be bought by the rich or bogged by the poor.
8,,,"Ag Imu dk tde, kigd de t kigd ehaU t",I Come for fire ie come and goneu,Srid oi a short ririL
9,,,Aim Ai no aod baehA kai f,You haveu't aold me ginger I Have you f,Eodlh is a valuable artigte; said to those who . demand money for doing nothing.
10,,,Jj iahpare MHp hagte haid.,His stools are still fouL,Not cured yet.
11,,,Sdnif oKiUho dg nd ghoTO pdrd.,"In the reign of Alamgir 11 nor fire in the stove, nor water in the pitcher.",Mivernmeat: Alamgir 11 was Emperor from 1754 to 1759 A. D.
12,,,Am thdae yd pef giane t,Will you eat the mangoes or count the trees 1,"We should eajiiy the good things that are preMnted to ua, without pusxling oiuselvee with fruitleee enquiriee about tliein."
13,,,"Jmae sdmhite glsar kanU, our bleh hardd","1 will take up my abode right in firont, and there shall be no screen between ua.","Said of an impudent, shameless woman."
14,,,"Anhar Hhan par Laehhmi Nardyan,",On another’s wealth he is Ijaohhml Nkriyan.,Maater of wealth.
15,,,Akkkod mnk tiraok julnO.,Mustard is growing in his cyost,He ia bKnd druuk.
16,,,"AdkfioA ae ntAAf, ndsi jt /",Blessed with eyes and called Mr. H&ffs I,//ta ia a term of reapect toward blind men.
17,,,Anokkl jwvdf edg nud ekurvd. Mah Worn.,The silly hussy has made broth of the greens.,Skorba is aoup made of moat.
18,,,"Ajt ho fatihal, gair ho nasihat.",Vicious yourself you preach to others.,Practise what you prescU.
19,,,Apne mOe Rdm waMiL,When you 'rs dead there e no Bftm (God).,Invoko him whilst you live.
20,,,Ashiql khdld H kdghar nahUd.,Loving is not like living in my aunt's house.,The cmiree of true love never does run smooth
21,,,Ai'md7i ke phaie ko kahdd tedb thegii tage?,If heaven break w'ho will patch it upf,Used towards the hopeless and spendthrift
22,,,Ate bhmUt kijdtef,Is it bMt to come or go 1,Said of a pwraon dialiked.
23,,,Avwat'tadmt bddkdtaUm. Pen.,"Come man, come food, gone man, gone food.",With the both of the child the uother'e milk bpgint to flow.
24,,,"Bahrd ftflUsAlf, anethd dosakhim","The deaf for Heaven, the blind for Hell.",ThsUiad nun is vaty swBicionih the danf esahseraoerU.
25,,,Bail na kdddt kddl gaun: y6h tamdthd dekha,"The panier hae jumped iu without the ox, who ever saw such a thing before f",Said to one who obtrudes hinsetf Where he is not required.
26,,,"BakhioA ke balyd, pahdd Mir ho gayd dafyd.",Such ia the power of my fate that 1 oook rice and milk and obtain split peas.,Ill-liiok; Mir being muoh more expeorive than de/yi.
27,,,BAt hdAdhi kann mdrtA.,"He can knock down a shell hung up by a hair,",A good shot
28,,,Bdman kd beCA bdvan barae tak baukgd.,A Brkhinau's son is a fool for fifty two yearn.,Allusion to tho habit of tbs oasts of living on alms
29,,,"Baniye kd bahkdyS, aur jogi kd pkitkdrd.",From the Bany&’s guile and the saint’s curso,there is no escape).
30,,,"Bdp id ndtn Dnmrl, h Ivd id Chhnhaurydy","The father Damrl, the son Cliliakauil, the passed and a dJioddm was not ooniplctc.",Tlie ptiint it« t)i»t even after three generations
31,,,Bdrah barue Diffl men rake bhdr hi Jhadeu.,Twelve years in Dehll and only a fireman!,For parching grain. Well b to evil wed.
32,,,"Bit roA jdfl Aoe, vaqt nikaH jild hai.","The promise remains, but time flies away.",This is said by a man who is disappointed in not meeting with that aaaiataaee from another wh he had reason to eapoet.
33,,,Bamt ddit Ai bhMd khiti nahii jid.,The words of thirty-two teeth will never foil,The promiHeo of those in the priam of adult life are not lightly mada
34,,,"Bdd hhdSt bdp lakhdb, Kaljug apndhal dithlde.","The son fe well while the fkther looks on, the iron sge shews its might",Sons must anpport iatihn in IndUa; tha Kaljugb tha pnNotdaganarate i
35,,,JihoMb f dOdh hii ne chkofd t,Who ever leaves the milk in the bttflBtlo t,The rioh areelweya fleeoed.
36,,,"Bkajem aur bkajan ehOnt bhald,",layers and meals in seclusion are besU,Natives eat and pray alonsi.
37,,,BhahOhd bhtge gdod be goedrd.. (vUlagi,A fool g«ta wetted in the outskirts of the,"not got asoae enough to go ineide. Bhald hud dkh gaum gedf cAcR hi pkaryd wtad hd bked. E. Worn. It te well that tag husband’s sistss is married and gone, for- A shall get her gorgeous, clothm."
38,,,"BhaU, bdbd, bmmd pmgd, goftur dUorwlUs pa","Father dear, I am.prinouer,- and instshd of","Said' by a gM who ■hoe aanmad above her, while peer aad- lesdy she had froedom, but BOW that aha ierfah oho -is abut i Up in the BhaU dita dOdga tOf gkaar gdrlllr eloir dHge. When the good tsmo oomes it will aek its"
39,,,Bhang inA df da ka wuu jdn mdrH koM.,Easy is the drinking of hcmp but deadly is the enjoyment thiffofdL,Spoken in reproof of Umm who set without regarding ooneequenora: /ndlis draesarai dpermi.
40,,,Bhit hhiie hath jdrii/ Worn.,She can’t eat rice because it makes her hand ache I,She ii eo deUoate.
41,,,"Bhdid gagdjo bechne, aghdad hake h0ndhak","A hungry maawent to-selloff his wifb and the sarfeitedi said, “ mortgage her.” t",Taking advantage of another'e neoeeaitMe.
42,,,BJiuke ho- to hare hare rtUth dekhOi,If you are hungry look at the green trees.,Put into the noouth of a mieer who never knowe anything of poraona in diatreaa
43,,,"BiUl ha hhudb med ehdhe hdded. down,",llie cat dreams of mice running up and,Moral as in the prseading.
44,,,Min imlai ahmaq le damfi HJmak. Mah. Worn.,The fool has come uninvited with a platter.,Spoken ol one who comes without iiiviU Uon to a foMt or who unasked iuter meddles in any affair.
45,,,"MiptU pari jab bhef mondl, mnkar gnpd jab","When the trouble was on bins he made a vow, when the trouble passed he denied it",When the devil was sick tbs devil a saint would be. When the devil got woU the devil a saint was he.
46,,,BCtmCUdh kegumb id nuh hailhe hai.,He reaidea under the dome of Bt’miUiA»,». e. he iende a reaigoed and retired life: in the odour of eauotity. fiCmVUak meeni in the name of Ood.
47,,,Burbak ki Jord sab kl bkaujdi.,"A fool’s wife is every body’s sister-in-law,",le. any body may flirt with her.
48,,,Chain nudhaun heuar harid hail,Who fails to do what he can for himself t,Every one tries his beat in his own interest: to put one's best leg forward.
49,,,Chamdr hi ehhohtd Chandan ndm /,A cobbler’s daughter and named Sandal i,daaclai is applied by high oaate Brshmans for the tikd or aeota mark on the fore head.) '
50,,,Chamdr ho D%vdH med bhh bogdr.,A Ckamfir must work even on the DlvfilL,"«. a on a holiday, bo is then employed to light the lamps."
51,,,Chdm hd ehamo hOiar raihadl /,A dog set to watch a leather atrap I,Ha wilfba auto to walk off with it
52,,,"Champd he das phOt, ehadhdi Id eh hati,",A bud of jasmine is better than ten flowers of thampd. An hour with a clever man is betLer than the whole night with a foot,Better fifty years of Europe than a cycle of Cathay.
53,,,Chdiid charhfi hU cltam (h JJhe.,All the world can sc(i the moon lu the sky.,"Jh niile Ob, rhunde m.fihtOb. Fair as tiie muon, and Liight as the nuii. ClMud gahan wrii chahki ralul hi lyA hdm f What has the mill stone dresser to do at an eclipse of'tho mooni Uu » nt'ver empluyu at that season."
54,,,Chdtvl kd tiikrd.,"A part of tho moon, v",Very lu iglit and Nliining.
55,,,ChhachhilAdar he sir meA cAaAAefl kd tel.,Oil of jasmine on tho head of the musk-rat.,Snid of a worthleu swaggerer.
56,,,"C7AA' bole so bote, ehkaled bhl bole, jie men","If the winnowing fkn speak it is well, but if the sieve fUU of holes apeak, what then t",The innooent saa speak out freely but not the criminal: thou that live in glau houam can’t throw stonos.
57,,,Chhdtl pe dhar-h hai nahid ieJaUL,None carries (his wealth) on hia breast,after his death.
58,,,Chhdtl pe loi nahld dftar degd.,None will lay your wealth on your breast,at your death).
59,,,ChJamhe hi pe rakkfil mOegi.,What's already in your net you will obtain.,"CkAM, a net anapeiided from tlie roof and containing eatables. It ia used to keep these safe from eat% doge, tats, anta, etc."
60,,,"ChhUkkb! gag, jhitUe dg.",He went siioeaing and oame back weeping.,Allusion to the widespread notion of the ilMuek of sneasing Wore starting on a jouruey.
61,,,"CKhnt si hachhyd, bofl H hatlyd.",The is small but the sin is great,Am well be hanged for a sheep sa a lamb.
62,,,Chinfi ke ghar nil meUam. nest.,There is perpetual mourning in an ant’s,They are always being killed.
63,,,CJwr dkor donoik lioxir k/tin.,The thief and the cattle arc both present.,Full proofO Chor garl It gayd hegdriyod ho ckhuUi hut. When the thief walks off with the bundle the forced labourer is free. Chor tathelipt jdn tiye ph'rtd hat. A thief carries his life on the palm of his hand.
64,,,"Chor le, n d sddhd pdche.",When a thief steals ho does not enquire if,his victim) be a saint.
65,,,"C/ior le, ua sdh chhde.",Nor thief can take nor banker touch it,So it is quite safe.
66,,,"Chuhd bll inch samdtd aa thd, kan-td bddhd",Thu rat was already unable to enter his hole and he tied a winnowing fun to his ears.,A sarcasm aimed at thow whueuter intu ex travagant marriages.
67,,,"Chulh-p, rhulki, sab hi kdm pukki. Worn.",She is quite up to the hearth and tho mill.,"She is exiicrt in every art, os grinding, baking, etc: a good hoiiaewife."
68,,,"DqKX beelutn cAafffk, pl4 p/chhdrd kamolgd.","She goes out to sell her tyro, and bangs the pitcher down her back.",Asbamadtnpntifcon. be hnadiabovo her work.
69,,,Ddl CAakbeli ke Mirtd Mogrd. fMogri.,"The son of nurse Chambell, is called Mirs&","Applied to one of mean descent who affects leatness. The two names are the namee of flowers, b..i. are also applied to persons."
70,,,Dst ke eir pdn phiil. Mah. Worn. flowers.,On the head of the nurse are betel and,"Taken from the game of blindman'e buff, in which one child, under the chanoter of a nurse eloees up the eyes of that one who is to search tor the thief."
71,,,"Ddl rl, ddl tore edt hok bhdS /","Nurse, may you have seven brothers 1",&id by children in blindnaan’s buff.
72,,,Dam band rahet pKMk ndaal ‘de / away.,May your life remain and your breath pass,A blessing and a onrse.
73,,,"Domri B bulbal, (dhd ehhnfdi.",A penny for plucking a half-penny bird.,Bxpsnding oa anything mora that it is worth.
74,,,DhdAbMk j4dUL Bus.,Wban the log burns the cold goes away.,Ckn loads to sttooa ss.
