id,theme,theme_bucket,proverb_translit,literal_en,commentary
6,Agriculture,agriculture,Kanda ani mardStsa baiidha,"The ottion is inform like a man, i e. stout and plump.",KonkaDaiita narala pbukata milatata Cocoa-nuts can he had for nothing in the KonJcanl This mtiat be nnderstood aa said by a person living in the Deccan where cocoa nuts are dear. Because things axe cheap in one place they are not necessarily so in another.
7,Agriculture,agriculture,KliaDdiDiadhye pava rati,An ounce »hort in a cart-load.,Why trouble abont so trivial a matter?
8,Agriculture,agriculture,Zalata ghara bhadyane va zune zondhale kadhyane,gheu naye Do not hire a burning house and do not take old zondAale witA a promise to pay back in kind.,It is usual to pay back one and a quarter or one and a half measure for every measure borrowed. To pay new grain for old in this way would be foolish. Digitized ByGOOgle
9,Agriculture,agriculture,Tusa kanduna hatasa phoda,To Hitter the hand by pounding chaff.,To spend strength in nselees work.
10,Agriculture,agriculture,Bbramatsa bhopala tsaupai mokala,A su»pieiou»-looking gourd and its four feet open.,A dry gourd in which it was supposed that money had been hidden and which was found to be empty. An illusion dispelled. gmzedbyGOOgle
11,Agriculture,agriculture,Bangi rangall dethi pikali,"It haa come to per/ectioK, it U ripe on the stem.",The figure of a chili which when red ia ripe. Applied to that which has come to maturity.
12,Agriculture,agriculture,Veliga duhkha nalii valukaaa duhkha nahi,Injury nt&er to tie plant nor to the cucumher.,So to act that neither of two friends will be injnied.
13,Agriculture,agriculture,Ila ani bhopala,The sickle and the gourd.,"Applied to man and wife, master and servant,"
14,Agriculture,agriculture,Khore mat! apalyakade upasate,A hoe dratet toil tovardt tit.,Used where a man is working for selfish ends.
15,Agriculture,agriculture,Jethe zave tethe na&garaaa pala,Go where you will tie plough meeti with obttacles roots).,Zodivatsiina gada odhala zata nahi The cart cannot be drawn wUhout a pair
16,Agriculture,agriculture,Bliaralya gadyasa Bupa zada naht,A corn-fan is not heavy in a loaded cart.,"Its weight is bo trivial it makes not the slightest difieieoce. One in great tronble does not feel trifles. Lankadaci adholl moa khandokhandi phodali tara eka bbakarahl bhSaoara nahi The tteo-eeer wooden measure will measure cart-loads grain, but if broken up will not bake even one loaf."
17,Agriculture,agriculture,Kunabyaci zata vilyasarakb: vankadi pana tbokuna,"hoti netaki Tie kunbi caste is crooked like a sickle, but by beating it becomes straight. 52 gimHt z 'if nI Tt uaEwpf firar '«r Kunabyaci beti gavbaci roti malalyaae tila tsava yeti A kunbi's daughter and wheaten bread by pounding taste well.",
18,Agriculture,agriculture,Kunabyatse gee gurakhyane ale,The kunhti earthen pot wag earned hy c(m-herding.,"Kunabyatse pora Sahane zhaJe tara gondbajyacitsa katba gaila If a kaaiit child leeome mse he wtU only he able to repeat a Jew roith iont. He never bears anything better than songs sung at gohdhalt,"
